Title,Description,Status,Label,Priority
Setup: Environment & API Preparation,"[Curriculum](docs/en/curriculum/appendix/index.md) Set up Google Colab, install the required libraries, and configure the OpenAI API key securely as a secret.",Todo,Setup,High
Unit 01: Linear & Regularized Regression,"[Curriculum](docs/en/curriculum/unit01_linear_regression/index.md) Learn regression through a room-size and rent example, then implement Lasso regression with the diabetes dataset.",Todo,Chapter-1: Classical-ML,Medium
Unit 02: Logistic Regression & Classification Metrics,"[Curriculum](docs/en/curriculum/unit02_logistic_regression/index.md) Learn classification and metrics such as confusion matrices and ROC curves through examples like spam detection, then build a breast-cancer classifier.",Todo,Chapter-1: Classical-ML,Medium
Unit 03: K-NN & Support Vector Machines,"[Curriculum](docs/en/curriculum/unit03_knn_svm/index.md) Learn K-NN and SVM decision boundaries, then implement multiclass classification with the wine dataset.",Todo,Chapter-1: Classical-ML,Medium
Unit 04: Decision Trees & Random Forests,"[Curriculum](docs/en/curriculum/unit04_decision_trees_random_forests/index.md) Learn decision-tree questions and random-forest voting, then predict California housing prices.",Todo,Chapter-1: Classical-ML,Medium
Unit 05: Gradient Boosting & XGBoost,[Curriculum](docs/en/curriculum/unit05_gradient_boosting_xgboost/index.md) Learn how boosting models correct one another and build a prediction pipeline with LightGBM or XGBoost.,Todo,Chapter-1: Classical-ML,Medium
Unit 06: Clustering Algorithms,"[Curriculum](docs/en/curriculum/unit06_clustering_algorithms/index.md) Learn K-Means and hierarchical clustering, then segment customers using purchasing data.",Todo,Chapter-1: Classical-ML,Medium
Unit 07: Dimensionality Reduction (PCA),"[Curriculum](docs/en/curriculum/unit07_dimensionality_reduction/index.md) Learn PCA as information compression, then project handwritten-digit data into two dimensions for visualization.",Todo,Chapter-1: Classical-ML,Medium
Unit 08: Cross Validation & Hyperparameter Tuning,"[Curriculum](docs/en/curriculum/unit08_cross_validation_tuning/index.md) Learn cross-validation and automated tuning with Optuna, then tune an XGBoost model.",Todo,Chapter-1: Classical-ML,Medium
Unit 09: Machine Learning Capstone Project,"[Curriculum](docs/en/curriculum/unit09_classical_ml_capstone/index.md) Compare Lasso regression and XGBoost, and make a reasoned model-selection decision under data and interpretability constraints.",Todo,Chapter-1: Classical-ML,High
Unit 10: Neural Networks from Scratch,[Curriculum](docs/en/curriculum/unit10_nn_from_scratch/index.md) Understand neural networks through an approval-process analogy and implement backpropagation with NumPy for XOR and OR gates.,Todo,Chapter-2: Deep-Learning,Medium
Unit 11: PyTorch Basics & Simple MLP,[Curriculum](docs/en/curriculum/unit11_pytorch_basics/index.md) Learn PyTorch tensor operations and build a multilayer perceptron classifier.,Todo,Chapter-2: Deep-Learning,Medium
Unit 12: Optimizers & Loss Functions,"[Curriculum](docs/en/curriculum/unit12_optimizers_loss/index.md) Learn SGD, Adam, MSE, and cross-entropy, then implement a training loop for MNIST classification.",Todo,Chapter-2: Deep-Learning,Medium
Unit 13: Regularization in DL,"[Curriculum](docs/en/curriculum/unit13_regularization/index.md) Learn Dropout, BatchNorm, and Early Stopping to reduce overfitting and improve generalization.",Todo,Chapter-2: Deep-Learning,Medium
Unit 14: CNN Basics,"[Curriculum](docs/en/curriculum/unit14_cnn_basics/index.md) Learn convolution and pooling for image recognition, then classify color images with CIFAR-10.",Todo,Chapter-2: Deep-Learning,Medium
Unit 15: Transfer Learning with ResNet,[Curriculum](docs/en/curriculum/unit15_transfer_learning/index.md) Learn transfer learning and classify custom images such as dogs and cats with a pretrained ResNet.,Todo,Chapter-2: Deep-Learning,Medium
Unit 16: Deep Learning Capstone Project,[Curriculum](docs/en/curriculum/unit16_deep_learning_capstone/index.md) Compare a scratch CNN with ResNet transfer learning under a small-data constraint and justify the model choice.,Todo,Chapter-2: Deep-Learning,High
Unit 17: NLP Preprocessing & TF-IDF,"[Curriculum](docs/en/curriculum/unit17_nlp_preprocessing_tfidf/index.md) Learn text preprocessing and TF-IDF, then implement similarity search for news articles.",Todo,Chapter-3: NLP-Transformers,Medium
Unit 18: Word Embeddings (Word2Vec),[Curriculum](docs/en/curriculum/unit18_word_embeddings_word2vec/index.md) Learn Word2Vec and vector arithmetic such as king minus man plus woman equals queen.,Todo,Chapter-3: NLP-Transformers,Medium
Unit 19: RNNs & LSTMs,"[Curriculum](docs/en/curriculum/unit19_rnns_lstms/index.md) Learn networks with context and memory, then build sentiment analysis for movie reviews.",Todo,Chapter-3: NLP-Transformers,Medium
Unit 20: Attention & Transformers,"[Curriculum](docs/en/curriculum/unit20_attention_transformers/index.md) Understand attention and Transformers, then implement self-attention from scratch.",Todo,Chapter-3: NLP-Transformers,Medium
Unit 21: NLP Capstone Project,[Curriculum](docs/en/curriculum/unit21_nlp_capstone/index.md) Compare RNN/LSTM with attention against a Transformer for translation in a tiny-corpus setting.,Todo,Chapter-3: NLP-Transformers,High
Unit 22: Evolution from LLM to AI Agent,[Curriculum](docs/en/curriculum/unit22_llm_evolution/index.md) Learn the roadmap from LLMs to AI agents and implement an LLM API and a sentiment-analysis function.,Todo,Chapter-4: LLM-Agents,High
Unit 23: LLM API Usage & Prompting,"[Curriculum](docs/en/curriculum/unit23_llm_api/index.md) Learn LLM APIs and prompt engineering, then build an initial LLM application hub.",Todo,Chapter-4: LLM-Agents,High
Unit 24: Vector DBs & RAG From Scratch,[Curriculum](docs/en/curriculum/unit24_vector_dbs_rag_from_scratch/index.md) Learn retrieval-augmented generation and implement RAG from scratch with NumPy and an API.,Todo,Chapter-4: LLM-Agents,High
Unit 25: LangChain Basics & RAG,"[Curriculum](docs/en/curriculum/unit25_langchain_basics_rag/index.md) Learn LangChain components and LCEL, then rebuild the scratch RAG pipeline with LangChain.",Todo,Chapter-4: LLM-Agents,High
Unit 26: LlamaIndex Basics & RAG,[Curriculum](docs/en/curriculum/unit26_llamaindex_basics_rag/index.md) Learn a RAG-focused framework and apply its indexing and query-engine abstractions.,Todo,Chapter-4: LLM-Agents,High
Unit 27: Prompt Chaining,[Curriculum](docs/en/curriculum/unit27_prompt_chaining/index.md) Decompose complex reasoning into prompt chains and build a pipeline from error-log analysis to code generation.,Todo,Chapter-4: LLM-Agents,High
Unit 28: Context-Aware Chatbot,[Curriculum](docs/en/curriculum/unit28_context_aware_chatbot/index.md) Learn conversation-memory management and build an interactive Streamlit chatbot.,Todo,Chapter-4: LLM-Agents,High
Unit 29: AI Agent Fundamentals & Scratch ReAct Implementation,"[Curriculum](docs/en/curriculum/unit29_ai_agent_implementation/index.md) Implement OpenAI Tool Calling and an autonomous reasoning loop from scratch, then build an EC-return review agent.",Todo,Chapter-4: LLM-Agents,High
Unit 30: MCP Fundamentals & Server Implementation,[Curriculum](docs/en/curriculum/unit30_mcp_fundamentals/index.md) Learn MCP architecture and build a JSON-RPC MCP server that provides tools and data to an agent.,Todo,Chapter-4: LLM-Agents,High
Unit 31: smolagents & AI Agent,[Curriculum](docs/en/curriculum/unit31_smolagents_code_agent/index.md) Learn the lightweight smolagents code-execution framework and compare ReAct with CodeAgent implementations.,Todo,Chapter-4: LLM-Agents,High
Unit 32: LangGraph — Graph-Based Stateful Agents,"[Curriculum](docs/en/curriculum/unit32_langgraph_stateful_agents/index.md) Learn graph workflows with state, nodes, and edges, then build ticket routing with a human-approval gate.",Todo,Chapter-4: LLM-Agents,High
Unit 33: Agent SDK: General & Business Automation,"[Curriculum](docs/en/curriculum/unit33_agent_sdk_general_agents/index.md) Learn SDK-based agents with persistent state and data integrations, then connect a Stripe payment API.",Todo,Chapter-4: LLM-Agents,High
Unit 34: Agent SDK: Autonomous Coding & Software Engineering,"[Curriculum](docs/en/curriculum/unit34_agent_sdk_coding_agents/index.md) Learn sandbox- and file-operation-based coding agents, then implement deny-by-default policies and approval hooks.",Todo,Chapter-4: LLM-Agents,High
Unit 35: Tokenizer & BPE Fundamentals,"[Curriculum](docs/en/curriculum/unit35_tokenizer_bpe/index.md) Learn tokens, token IDs, a minimal BPE implementation, and token-count differences across languages.",Todo,Chapter-4: LLM-Applied,High
Unit 36: LoRA / QLoRA Fundamentals,[Curriculum](docs/en/curriculum/unit36_lora_qlora/index.md) Learn low-rank adapters for frozen base models and the quantization trade-offs of QLoRA.,Todo,Chapter-4: LLM-Applied,High
Unit 37: LLM Harness & Agent Capstone Project,[Curriculum](docs/en/curriculum/unit37_llm_harness_capstone/index.md) Build and validate a quality-evaluation harness using LLM-as-a-Judge.,Todo,Chapter-5: Real-World-Capstones,Critical
Unit 38: Multimodal Fraud Detection,"[Curriculum](docs/en/curriculum/unit38_multimodal_fraud_detection/index.md) Build a fraud-detection classifier that fuses tabular, text, and image data.",Todo,Chapter-5: Real-World-Capstones,High
Unit 39: Autonomous Knowledge Structuring,[Curriculum](docs/en/curriculum/unit39_knowledge_structuring_agent/index.md) Build a pipeline that extracts structured JSON from unstructured data.,Todo,Chapter-5: Real-World-Capstones,High
Unit 40: Guardrails & LLM-as-a-Judge,[Curriculum](docs/en/curriculum/unit40_guardrails_evaluation_harness/index.md) Build an audit pipeline combining input/output guardrails with LLM-as-a-Judge evaluation.,Todo,Chapter-5: Real-World-Capstones,High
