Title,Description,Status,Label,Priority
Setup: 学習環境とAPI準備 (Appendix),[教材](curriculum/appendix/index.md) を確認し、Google Colabの準備、ライブラリのインストール、およびOpenAI APIキーの安全なシークレット設定を行います。,Todo,Setup,High
Unit 01: Linear & Regularized Regression,[教材](curriculum/unit01_linear_regression/index.md) | 広さと家賃予測の例え話で回帰を学び、Lasso回帰（糖尿病データセット）を独力で実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 02: Logistic Regression & Classification Metrics,[教材](curriculum/unit02_logistic_regression/index.md) | メールスパム判定などの例で分類と評価指標（混同行列・ROC）を学び、乳がんデータセットの分類モデルを実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 03: K-NN & Support Vector Machines,[教材](curriculum/unit03_knn_svm/index.md) | 「類は友を呼ぶ」K-NNと境界線SVMの概念を学び、ワインデータセットで多クラス分類を実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 04: Decision Trees & Random Forests,[教材](curriculum/unit04_decision_trees_random_forests/index.md) | YES/NOのフローチャート決定木と、多数決のランダムフォレストを学び、カリフォルニア住宅価格の回帰予測を実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 05: Gradient Boosting & XGBoost,[教材](curriculum/unit05_gradient_boosting_xgboost/index.md) | 弱点を補い合う最強アルゴリズムを学び、LightGBMやXGBoostを使った予測パイプラインを実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 06: Clustering Algorithms,[教材](curriculum/unit06_clustering_algorithms/index.md) | グループ分け（K-Means・階層クラスタリング）を学び、顧客の購買データを使ったセグメンテーションを実装します。,Todo,Chapter-1: Classical-ML,Medium
Unit 07: Dimensionality Reduction (PCA),[教材](curriculum/unit07_dimensionality_reduction/index.md) | 情報の要約（PCAによる次元圧縮）を学び、手書き数字データ（MNIST）を2次元に圧縮して可視化します。,Todo,Chapter-1: Classical-ML,Medium
Unit 08: Cross Validation & Hyperparameter Tuning,[教材](curriculum/unit08_cross_validation_tuning/index.md) | モデルの模擬試験（交差検証）と、自動パラメータ調整（Optuna）を学び、最適なXGBoostモデルをチューニングします。,Todo,Chapter-1: Classical-ML,Medium
Unit 09: Machine Learning Capstone Project,[教材](curriculum/unit09_classical_ml_capstone/index.md) | 第1章末 総合演習。異なる仮説モデル（Lasso回帰 vs XGBoost）を自分で実装・比較し、データ数や解釈性を踏まえてどちらを適用すべきか論理的根拠を意思決定する本質的なパイプライン設計を行います。,Todo,Chapter-1: Classical-ML,High
Unit 10: Neural Networks from Scratch,[教材](curriculum/unit10_nn_from_scratch/index.md) | 稟議プロセスのアナロジーでNNを理解し、NumPyだけで誤差逆伝播を実装（XOR/OR回路）します。,Todo,Chapter-2: Deep-Learning,Medium
